海南航空股份有限公司电子客票出票报表
单位名称:,珠海泰申发展有限公司
第一部分:,销售明细
销售日期:,2010-11-01至2010-11-29

交易编号,起始票号,终止票号,PNR,人数,旅客类型,航段数,航段,航班号,舱位,航班日期,币种,票面金额,机场税,燃油税,其它税,票款总额,代理费,基础代理费,附加代理费,银行支付金额,E付卡支付金额,支付银行,银行订单号,E付卡支付订单号,出票时间,销售人ID,出票人ID,出票类型,原起始票号,原终止票号
'201011041619426886,880-2120538386,880-2120538387,GGNQD,2,成人,1,SZXDLC,HU7717,Q,20101105,人民币,2440.0,100.0,140.0,0.0,2410.0,270.0,74.0,196.0,2410.0,0.0,BILL99YS-HUB2C,'2010110401410682,-,2010-11-04 16:23,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041635237423,880-2120539245,880-2120539246,GMSJW,2,成人,1,SZXSYX,HU7325,Y,20101105,人民币,1780.0,100.0,140.0,0.0,1824.0,196.0,54.0,142.0,1824.0,0.0,BILL99YS-HUB2C,'2010110401411013,-,2010-11-04 16:40,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041636177458,880-2120539317,880-2120539317,Z0X03,1,成人,1,SZXDLC,HU7717,E,20101112,人民币,820.0,50.0,70.0,0.0,849.0,91.0,25.0,66.0,849.0,0.0,BILL99YS-HUB2C,'2010110401411030,-,2010-11-04 16:40,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041704228404,880-2120540869,880-2120540872,K9JMR,4,成人,1,SZXCGO,HU7753,U,20101118,人民币,2520.0,200.0,280.0,0.0,2724.0,276.0,76.0,200.0,2724.0,0.0,BILL99YS-HUB2C,'2010110401411571,-,2010-11-04 17:06,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041728289135,880-2120542100,880-2120542100,FHX68,1,成人,1,SZXPEK,HU7702,M,20101104,人民币,1230.0,50.0,70.0,0.0,1215.0,135.0,37.0,98.0,1215.0,0.0,BILL99YS-HUB2C,'2010110401411995,-,2010-11-04 17:31,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041807161162,880-2120543670,880-2120543676,GMNK9,7,成人,1,SZXCTU,HU7751,X,20101115,人民币,4970.0,350.0,490.0,0.0,5264.0,546.0,147.0,399.0,5264.0,0.0,BILL99YS-HUB2C,'2010110401412640,-,2010-11-04 18:10,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041956383126,880-2120546206,880-2120546206,EYGQR,1,成人,1,SZXNGB,HU7313,L,20101107,人民币,870.0,50.0,70.0,0.0,894.0,96.0,26.0,70.0,894.0,0.0,BILL99YS-HUB2C,'2010110401413750,-,2010-11-04 19:58,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011042013403361,880-2120546456,880-2120546456,CC0G0,1,成人,1,SZXHET,HU7043,M,20101106,人民币,1390.0,50.0,70.0,0.0,1357.0,153.0,42.0,111.0,1357.0,0.0,BILL99YS-HUB2C,'2010110401413857,-,2010-11-04 20:15,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011050902417398,880-2120551334,880-2120551334,K5MKC,1,成人,1,SZXHRB,HU7717,X,20101107,人民币,1230.0,50.0,70.0,0.0,1215.0,135.0,37.0,98.0,1215.0,0.0,BILL99YS-HUB2C,'2010110501415933,-,2010-11-05 09:07,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011051116323088,880-2120557824,880-2120557825,J07HX,2,成人,1,SZXSHE,HU7729,U,20101110,人民币,2060.0,100.0,140.0,0.0,2074.0,226.0,62.0,164.0,2074.0,0.0,BILL99YS-HUB2C,'2010110501418545,-,2010-11-05 11:18,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011051240165900,880-2120562047,880-2120562047,V0C4E,1,成人,1,SZXKWE,HU7741,L,20101105,人民币,710.0,50.0,70.0,0.0,752.0,78.0,21.0,57.0,752.0,0.0,BILL99YS-HUB2C,'2010110501420148,-,2010-11-05 12:43,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011051320497094,880-2120563612,880-2120563612,T4H25,1,成人,1,SZXCSX,HU7185,M,20101106,人民币,510.0,50.0,40.0,0.0,544.0,56.0,15.0,41.0,544.0,0.0,BILL99YS-HUB2C,'2010110501420802,-,2010-11-05 13:24,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011051406308437,880-2120565440,880-2120565443,T4EN2,4,成人,1,SZXTSN,HU7204,E,20101115,人民币,2960.0,200.0,280.0,0.0,3116.0,324.0,88.0,236.0,3116.0,0.0,BILL99YS-HUB2C,'2010110501421581,-,2010-11-05 14:10,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011051537122472,880-2120570040,880-2120570041,Z3T30,2,成人,1,SZXHAK,HU7016,B,20101105,人民币,1240.0,100.0,80.0,0.0,1282.0,138.0,38.0,100.0,1282.0,0.0,BILL99YS-HUB2C,'2010110501423423,-,2010-11-05 15:40,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011051600253251,880-2120571826,880-2120571826,G2HYS,1,成人,1,CANXIY,HU7848,F,20101115,人民币,2240.0,50.0,70.0,0.0,2069.0,291.0,67.0,224.0,2069.0,0.0,BILL99YS-HUB2C,'2010110501423826,-,2010-11-05 16:11,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011051604383404,880-2120571884,880-2120571884,J50T6,1,成人,1,SZXPEK,HU7704,Q,20101112,人民币,1050.0,50.0,70.0,0.0,1054.0,116.0,32.0,84.0,1054.0,0.0,BILL99YS-HUB2C,'2010110501424046,-,2010-11-05 16:12,B@TAISHEN888,B@TAISHEN888,购票,-,-
